RefID,Database,Reference,LatDec,LongDec,Site ,SiteID,Country,ID,Ecosystem,SiteDescrip,Class,ShoulderSeason,Seas,Year.P,Years,SampleDays,Month.Numbers,SampMonths,Meth,Coll,Occ,GrowSL,CH4An,log.CH4,CH4.Pos,CH4Av,CH4Md,CH4Mx,NEPPer,ERPer,GEPPer,MAAT,MAP,TPer,AveGridTemp,TSoilA,TsoilB,TSoilDepth,WTAv,WTFit,WTMax,WTMin,WTFluc,SoilMoist,SoilMostD,Org,AL,Thaw,PfReg,PfConA,PfTh,pH,Sedge,Sphag,Moss,Trees,Shrubs,Annual.Temp,TotalID,CD_Pcp_An,BIOME
53,Kuhn,"Malhotra & Roulet, 2015, Biogeosciences",68.35,19.0146,"Stordalen, Sweden",Stordalen,Sweden,Palsa Stages,Pasla Mire,Intact-thawing palsas,PermBog,Y,S,2015,2012-2013,-,2,JA,C,9,19,-,-,1.063333359,11.57,1.57,-,-,-,-,-,0,303,-,6.14,-,6.5,10,-,-,-,-,-,-,-,-,-,-,D,P,Y,-,P,P,-,A,P,-2.86,StordalenPermBog,693.159,11
53,Kuhn,"Malhotra & Roulet, 2015, Biogeosciences",68.35,19.0146,"Stordalen, Sweden",Stordalen,Sweden,Spagnum Lawns,Pasla Mire,Sphagnum lawns,Bog,Y,S,2015,2012-2014,-,2,JA,C,6,19,-,-,1.456366033,28.6,18.6,-,-,-,-,-,0,303,-,6.14,7.866666667,7.866666667,10,-,-,-,-,-,-,-,-,-,-,D,A,N,4,A,P,-,A,P,-2.86,StordalenBog,693.159,11
53,Kuhn,"Malhotra & Roulet, 2015, Biogeosciences",68.35,19.0146,"Stordalen, Sweden",Stordalen,Sweden,Sedge openwater ,Pasla Mire,Eriophorum openwater,Marshes,Y,S,2015,2012-2015,-,2,JA,C,12,19,-,-,2.319792888,208.83,198.83,-,-,-,-,-,0,303,-,6.14,8.775,8.775,10,-,-,-,-,-,-,-,-,-,-,D,A,N,4.3,D,A,A,A,A,-2.86,StordalenMarsh ,461.079,11
53,Kuhn,"Marushchak et al., 2015 Biogeosciences",67.06,62.945833,"Komi Republic, Russia",Komi,Russia,Waterlogged wetlands,Tundra,Waterlogged wetlands,Fen,Y,TSF,2015,2007-2008,-,3,JuJA,C,9,8,-,33.66666667,2.322219295,210,200,-,-,-,-,-,-5.7,454,-,9.666966667,-,-,-,10,10,23,5,18,-,-,-,-,-,D,A,Y,-,P,P,-,A,P,-4.9,KomiFen,461.079,11
53,Kuhn,"Marushchak et al., 2015 Biogeosciences",67.06,62.945833,"Komi Republic, Russia",Komi,Russia,Upland tundra,Tundra,Upland tundra,UpTundra,Y,TSF,2015,2007-2010,-,3,JuJA,C,12,18,-,0.2,-,-,-,-,-,-,-,-,-5.7,454,-,9.666966667,-,-,-,10,10,23,5,18,-,-,-,-,-,D,A,Y,-,P,P,-,A,P,-4.9,KomiUpTundra,461.079,11
53,Kuhn,"Marushchak et al., 2015 Biogeosciences",67.06,62.945833,"Komi Republic, Russia",Komi,Russia,Peat Plateaus ,Tundra,Peat Plateaus ,PermBog,Y,TSF,2015,2007-2009,-,3,JuJA,C,9,17,-,0.7,-,-,-,-,-,-,-,-,-5.7,454,-,9.666966667,-,-,-,10,10,23,5,18,-,-,-,-,-,D,A,Y,-,P,P,-,A,P,-4.9,KomiPermBog,116.436,11
54,Kuhn,"McEwing et al., 2015, Plant Soil",71.29,-156.603397,"Barrow, Alaska",Barrow,USA,BEN,Tundra,sedge moss wetland,PermWet,N,S,2015,2013,-,1,A,C,6,6,-,-,1.913813852,82,72,120,480,-,-,-,-,-,10.9,2.61,5.9,3.9,4,8,8,13,-4,17,-,-,-,-,34,C,P,-,4.4,P,P,P,A,A,-10.45,BarrowPermWet,192.01,11
54,Kuhn,"McEwing et al., 2015, Plant Soil",68.82,-155.74,"Ivotuk, Alaska",Ivotuk,USA,IVO,Tundra,tussock sedge dwarf shrub tundra,PermWet,N,S,2015,2013,-,1,A,C,12,1,-,-,1.913813852,82,72,48,408,-,-,-,-,-,5.6,2.49,5.9,3.9,4,1,1,4,-15,19,-,-,-,-,48,C,P,-,4.4,P,P,P,A,P,-12.21,IvotukPermWet,116.436,11
54,Kuhn,"McEwing et al., 2015, Plant Soil",71.31,-156.596467,"Barrow, Alaska",Barrow,USA,BEO,Tundra,sedge moss wetland,PermWet,N,S,2015,2013,-,1,A,C,8,6,-,-,2.025305865,106,96,48,192,-,-,-,-,-,10.9,2.61,5.9,3.9,4,2,2,13,-22,35,-,-,-,-,34,C,P,-,4.4,D,P,P,A,A,-10.45,BarrowPermWet,116.436,11
54,Kuhn,"McEwing et al., 2015, Plant Soil",71.02,-156.612344,"Barrow, Alaska",Barrow,USA,BES,Tundra,sedge moss wetland,PermWet,N,S,2015,2013,-,1,A,C,5,6,-,-,2.121887985,132.4,122.4,72,264,-,-,-,-,-,10.9,2.61,2.866666667,2.7,10,0,0,-2,5,7,-,-,30,-,27.2,C,P,-,-,D,-,-,A,A,-10.44,BarrowPermWet,116.436,11
55,Olefeldt,"Merbold et al., 2009, Global Change Biology",69.6,161.3333333,"Kolyma River floodplain, Sakha Republic, Russia",Kolyma,Russia,-,Flat floodplain,Sedge fen,PermWet,-,S,2009,2002 - 2004,-,1,A,C,3,13,-,29.33,2.51851394,330,320,-,-,-0.13,-,-,-12.5,210,-,2.34,-,-,-,8,8,-,-,-,-,-,-,47,47,C,P,N,-,D,A,A,A,A,-11.6,KolymaPermWet,-,-
56,Kuhn,"Miller et al., 2015,  Soil Biology & Biogeochemistry",71.3,-156.5891,"Barrow, Alaska",Barrow,USA,Control ,Acidic wet sedge tundra,"0-50 years since draining, low centered poly ",PermWet,N,S ,2015,2010-2011,90,2,JA,C,12,-,-,-,1.639486489,43.6,33.6,-,-,-,-,-,-,-,3.3,2.61,-,-,-,0,0,-,-5,-,-,-,15,34,-,C,P,Y,-,P,P,A,A,A,-10.45,BarrowPermWet,-,11
57,Olefeldt,"Moore and Knowles 1987, Canadian Journal of Soil Science",55.72,-66.7,"Schefferville, Quebec, Canada",Schefferville,Canada,3,Fens,Transitional Fen,Fen,-,S,1987,1984,-,3,JuJA,C,4,5,-,-,1.505149978,32,22,-,-,-,-,-,-5.3,785,-,10.08333333,-,-,-,-,-,-,-,-,-,-,-,-,-,S,A,N,-,D,A,D,A,A,-4.7,ScheffervilleFen,742.713,6
57,Olefeldt,"Moore and Knowles 1987, Canadian Journal of Soil Science",55.72,-66.7,"Schefferville, Quebec, Canada",Schefferville,Canada,2,Fens,Very rich fen,Fen,-,S,1987,1984,-,3,JuJA,C,4,5,-,-,1.51054501,32.4,22.4,-,-,-,-,-,-5.3,785,-,10.08333333,-,-,-,-,-,-,-,-,-,-,-,-,-,S,A,N,-,D,A,D,A,A,-4.7,ScheffervilleFen,742.713,6
57,Olefeldt,"Moore and Knowles 1987, Canadian Journal of Soil Science",55.72,-66.7,"Schefferville, Quebec, Canada",Schefferville,Canada,1,Fens,Transitional Fen,Fen,-,S,1987,1984,-,3,JuJA,C,4,5,-,-,1.763427994,58,48,-,-,-,-,-,-5.3,785,-,10.08333333,-,-,-,-,-,-,-,-,-,-,-,-,-,S,A,N,-,D,A,D,A,A,-4.7,ScheffervilleFen,742.713,6
57,Olefeldt,"Moore and Knowles 1987, Canadian Journal of Soil Science",55.72,-66.7,"Schefferville, Quebec, Canada",Schefferville,Canada,4,Fens,A rich fen,Fen,-,S,1987,1984,-,3,JuJA,C,4,5,-,-,1.886490725,77,67,-,-,-,-,-,-5.3,785,-,10.08333333,-,-,-,-,-,-,-,-,-,-,-,-,-,S,A,N,-,D,A,D,A,A,-4.7,ScheffervilleFen,742.713,6
58,Olefeldt,"Moore and Knowles 1990, Biogeochemistry",55.72,-66.7,"Schefferville, Quebec, Canada",Schefferville,Canada,3,Fen,Ribbed Fen,Fen,-,S,1990,1986-1988,-,3,JuJA,C,6,20,-,1.3,1.301029996,20,10,-,-,-,-,-,-5.3,785,-,10.08333333,-,-,-,-,-,-,-,-,-,-,-,-,-,S,A,N,-,P,A,D,A,A,-4.7,ScheffervilleFen,742.713,6
58,Olefeldt,"Moore and Knowles 1990, Biogeochemistry",55.72,-66.7,"Schefferville, Quebec, Canada",Schefferville,Canada,2,Fen,Rich fen,Fen,-,S,1990,1986-1988,-,3,JuJA,C,6,20,-,3,1.477121255,30,20,-,-,-,-,-,-5.3,785,-,10.08333333,-,-,-,-,-,-,-,-,-,-,-,-,-,S,A,N,-,D,A,D,A,A,-4.7,ScheffervilleFen,742.713,6
58,Olefeldt,"Moore and Knowles 1990, Biogeochemistry",55.72,-66.7,"Schefferville, Quebec, Canada",Schefferville,Canada,4,Fen,Ribbed fen- Flark,Fen,-,S,1990,1986-1988,-,3,JuJA,C,6,20,-,4.5,1.653212514,45,35,-,-,-,-,-,-5.3,785,-,10.08333333,-,-,-,-,-,-,-,-,-,-,-,-,-,S,A,N,-,D,A,D,A,A,-4.7,ScheffervilleFen,742.713,6
58,Olefeldt,"Moore and Knowles 1990, Biogeochemistry",55.72,-66.7,"Schefferville, Quebec, Canada",Schefferville,Canada,1,Fen,Poor fen,Fen,-,S,1990,1986-1988,-,3,JuJA,C,6,20,-,9.8,1.812913357,65,55,-,-,-,-,-,-5.3,785,-,10.08333333,-,-,-,-,-,-,-,-,-,-,-,-,-,S,A,N,-,D,A,D,A,A,-4.7,ScheffervilleFen,742.713,6
59,Olefeldt,"Moore et al., 1994, JGR",51.52,-80.45,"North Point - Kinosheo transect, Hudson Bay lowlands, Canada",NorthPoint,Canada,16,Interior fen,"Treed low shrub bog, hummock",PermBog,-,S,1994,1990,-,3,JuJA,C,3,10,-,-,1.017033339,10.4,0.4,-,-,-,-,-,-,-,10.8,13.78333333,-,7.8,23,-30,-25,-,-,-,-,-,63,-,-,S,A,N,-,P,P,-,D,D,2.67,NorthPointPermBog,-,6
