"","HL_SHORE_L","HL_FRAC_L","Cell_ID"
"285",0,0,19139
"286",150.87,64.4114,18769
"287",0,0,17816
"288",35.66,100,11995
"289",0,0,23435
"290",159.94,53.9697,7434
"291",0,0,17260
"292",5081.56,9.85815,3028
"293",0,0,16282
"294",0,0,7768
"295",0,0,5504
"296",91.05,71.6284,4212
"297",0,0,20586
"298",0,0,23219
"299",0,0,5382
"300",0,0,7258
"301",0,0,11590
"302",0,0,18996
"303",0,0,1032
"304",332.38,29.8317,9893
"305",0,0,19126
"306",0,0,12900
"307",0,0,19137
"308",0,0,9275
"309",0,0,16087
"310",0,0,9738
"311",0,0,10973
"312",0,0,337
"313",0,0,16785
"314",0,0,9439
"315",317.46,49.722,13158
"316",0,0,12788
"317",0,0,297
"318",0,0,19941
"319",39.83,33.7442,7487
"320",31.76,100,12711
"321",2813.74,2.94929,8051
"322",0,0,1823
"323",0,0,5084
"324",0,0,23285
"325",5248.36,1.33198,273
"326",0,0,8946
"327",0,0,21158
"328",0,0,9655
"329",0,0,8524
"330",0,0,6353
"331",0,0,14699
"332",0,0,5415
"333",0,0,11030
"334",0,0,15302
"335",0,0,4396
"336",0,0,9483
"337",1779.29,1.8404,3934
"338",121.17,73.2886,21981
"339",0,0,16791
"340",0,0,22359
"341",0,0,19636
"342",230.85,37.3055,10260
"343",7320.03,3.72679,12578
"344",0,0,3264
"345",156.73,83.2499,18081
"346",0,0,9150
"347",0,0,18905
"348",0,0,7041
"349",0,0,16913
"350",0,0,22283
"351",0,0,18895
"352",0,0,14221
"353",0,0,12805
"354",0,0,23434
"355",26.73,25.0857,17838
"356",0,0,5743
"357",126.81,57.1938,13746
"358",0,0,4765
"359",0,0,22013
"360",9474.83,9.70007,1816
"361",0,0,17201
"362",0,0,16862
"363",0,0,12235
"364",25.63,57.8228,9494
"365",0,0,15420
"366",0,0,10393
"367",0,0,15035
"368",641.34,39.9694,13161
"369",0,0,17415
"370",0,0,14126
"371",0,0,11082
"372",85.84,51.6602,14286
"373",0,0,10670
"374",0,0,15355
"375",0,0,18222
"376",154.95,100,3896
"377",0,0,22141
"378",0,0,7649
"379",59.45,91.5078,4914
"380",33.33,94.7599,373
"381",0,0,16605
"382",180.37,99.5383,8568
"383",0,0,9899
"384",0,0,19283
"385",0,0,15034
"386",1480.38,14.3726,1574
"387",0,0,1180
"388",0,0,13301
"389",0,0,11233
"390",0,0,19388
"391",0,0,10599
"392",66.86,100,360
"393",45.85,90.6159,18364
"394",0,0,6746
"395",0,0,2562
"396",0,0,22350
"397",0,0,1537
"398",0,0,13554
"399",0,0,13483
"400",3305.12,32.1811,5920
"401",91.95,6.78468,4585
"402",236.86,43.9382,16693
"403",1467.35,64.3763,3173
"404",0,0,9176
"405",1458.83,60.4539,6902
"406",0,0,20700
"407",0,0,9210
"408",0,0,2723
"409",0,0,1164
"410",0,0,14981
"411",0,0,19035
"412",101.06,44.3249,13403
"413",211.61,21.1895,5889
"414",0,0,21124
"415",416.25,3.39265,2959
"416",0,0,21191
"417",0,0,17329
"418",0,0,2346
"419",119.49,85.3236,3841
"420",0,0,15418
"421",0,0,9594
"422",36.43,100,10300
"423",28.4,23.6712,8368
"424",601.79,79.6527,2267
"425",0,0,1727
"426",0,0,7840
"427",0,0,4819
"428",0,0,20068
"429",0,0,5246
"430",0,0,15884
"431",0,0,182
"432",0,0,20342
"433",0,0,5324
"434",0,0,17675
"435",0,0,15543
"436",0,0,6000
"437",0,0,16292
"438",0,0,3055
"439",0,0,17804
"440",18.5,100,4792
"441",17.64,91.8317,15082
"442",0,0,1334
"443",1146.62,50.7337,2979
"444",914.96,76.9491,7932
"445",0,0,10000
"446",0,0,1677
"447",447.78,52.844,292
"448",293.17,1.34078,14300
"449",0,0,9370
"450",0,0,19164
"451",0,0,10356
"452",0,0,22804
"453",1643.35,60.1131,6398
"454",0,0,15629
"455",70.58,100,15471
"456",0,0,22111
"457",0,0,7192
"458",0,0,11560
"459",0,0,13549
"460",0,0,13364
"461",0,0,16643
"462",0,0,19285
"463",327.47,4.59981,1947
"464",0,0,7226
"465",0,0,23138
"466",23.07,5.17611,12804
"467",0,0,4184
"468",0,0,14794
"469",0,0,8866
"470",0,0,14797
"471",0,0,16586
"472",0,0,7061
"473",0,0,20938
"474",0,0,15780
"475",0,0,22555
"476",0,0,18672
"477",0,0,21989
"478",0,0,1488
"479",0,0,7161
"480",0,0,19667
"481",0,0,4239
"482",0,0,17957
"483",0,0,3775
"484",45.68,100,8122
"485",0,0,9257
"486",0,0,7262
"487",2157.26,7.65268,19805
"488",0,0,17427
"489",312.22,21.9013,6831
"490",0,0,8274
"491",0,0,17609
