ID,NUM,STUDY,DATABASE,YEAR,COUNTRY,SITE,NUMBER.LAKES,LAT,LONG,ECOREGION,PERMA.ZONE,LAKE.TYPE,BOTTOM,TALIK,SA,DEPTH,SEASON,YEAR.S,MONTH,PATHWAY,D.METHOD,K600_EQ,K_REF,E.METHOD,E.LOCATION,S.METHOD,D.DAYS,E.DAYS,LENGTH,CH4.D.FLUX,log.CH4.D.FLUX,CH4.E.FLUX,log.CH4.E.FLUX.plus1,Seasonal.Diff.Flux,Seasonal.Ebul,Seasonal.Storage,IBS,TEMP,DOC,PH,ICEFREE.DAYS,CLASS,SIZE,TYPE,GRID_T,NOTES,CD_Pcp_An,BIOME,ANN_T,SUM_T
56,12,Erkkila et al. 2018,KUHN,2018,Finland,Lake Kuivajarvi,1,61.83,24.28,SB,N,GP,O,N,0.62,13.2,Icefree,2014,September,D,CH,-,-,-,-,-,11,-,-,2.45,0.389166084,-,-,0.441,-,-,-,14,12,-,180,MLOP,M,OP,4.05,-,575.721,6,4.11,13.83
57,12,Emmerton et al. 2016,KUHN,2016,Canada,Evaporate,4,81.83,-71.46,AT,C,GP,M,N,0.00785,1.35,Icefree,2005-2012,June-August,D,WS,k = 5.6U - 14.14,Hamilton et al. 1994,-,-,-,6.5,-,-,0.38,-0.420216403,-,-,0.02964,-,-,-,10,27.696,-,78,SLOP,S,OP,-0.05,two different k equations used fro < 3km and > 3km. >3 km is shown here ,139.036,11,-18.88,-3.01
58,12,Emmerton et al. 2016,KUHN,2016,Canada,Melftwater,3,81.83,-71.47,AT,C,GP,M,N,0.009333,3.1,Icefree,2005-2012,June-August,D,WS,k = 5.6U - 14.15,Hamilton et al. 1995,-,-,-,31.33333333,-,-,1.15,0.06069784,-,-,0.0897,-,-,-,11,5.532,-,78,SLOP,S,OP,-0.05,two different k equations used fro < 3km and > 3km. >3 km is shown here ,139.036,11,-18.88,-3.01
59,12,Emmerton et al. 2016,KUHN,2016,Canada,Shoreline,2,81.82,-71.35,AT,C,GP,M,N,0.0205,1.25,Icefree,2005-2012,June-August,D,WS,k = 5.6U - 14.16,Hamilton et al. 1996,-,-,-,71,-,-,9.98,0.999130541,-,-,0.77844,-,-,-,11,3.072,-,78,SLOP,S,OP,-0.05,two different k equations used fro < 3km and > 3km. >3 km is shown here ,139.036,11,-18.88,-3.01
60,13,Engram et al. 2020,KUHN ,2020,USA,ViewLake Gravel Pit,1,64.806,-147.672,CB,C,GP,M,-,0.2682,15.5,Icefree,2014,December,E,-,-,-,BT,W ,-,1,1,-,-,-,0.25,0.096910013,-,-,-,-,-,-,-,-,MLOP,M,OP,4.85,-,281.827,6,-2.21,12.6
61,13,Engram et al. 2020,KUHN ,2020,USA,BonnieLakeGravelPit,1,64.805,-147.676,CB,C,GP,M,-,0.1232,4.9,Icefree,2014,January,E,-,-,-,BT,W ,-,1,1,-,-,-,0,0,-,-,-,-,-,-,-,-,MLOP,M,OP,4.85,-,281.827,6,-2.21,12.59
62,13,Engram et al. 2020,KUHN ,2020,USA,L3_E,1,70.414,-157.403,AT,C,GP,M,-,2.5282,-,Icefree,2009,February,E,-,-,-,BT,W ,-,1,1,-,-,-,0.14,0.056904851,-,-,-,-,-,-,-,-,MLOP,M,OP,4.85,-,155.744,11,-2.21,12.59
63,13,Engram et al. 2020,KUHN ,2020,USA,L4_E,1,70.446,-157.438,AT,C,GP,M,-,0.0753,-,Icefree,2009,March,E,-,-,-,BT,W ,-,1,1,-,-,-,0,0,-,-,-,-,-,-,-,-,MLOP,M,OP,4.85,-,155.744,11,-2.21,12.59
64,13,Engram et al. 2020,KUHN ,2020,USA,L5_E,1,70.449,-157.434,AT,C,GP,M,-,0.5145,-,Icefree,2009,April,E,-,-,-,BT,W ,-,2,1,-,-,-,0,0,-,-,-,-,-,-,-,-,MLOP,M,OP,4.85,-,155.744,11,-2.21,12.59
65,13,Engram et al. 2020,KUHN ,2020,USA,L6_E,1,70.456,-157.45,AT,C,GP,M,-,0.5726,-,Icefree,2009,May,E,-,-,-,BT,W ,-,1,1,-,-,-,0,0,-,-,-,-,-,-,-,-,MLOP,M,OP,4.85,-,155.744,11,-2.21,12.59
